train_acc,train_loss,val_acc,val_loss
0.04738947368421053,4.194937,0.0584,4.0913587
0.09774736842105265,3.8191633,0.114,3.6673887
0.15762105263157897,3.4745824,0.1704,3.4302387
0.2188421052631579,3.1322887,0.2468,3.0240378
0.27581052631578945,2.8169532,0.22640000000000002,3.2868721
0.3224421052631578,2.5922794,0.32,2.5879972
0.3568631578947368,2.4313116,0.3204,2.7931128
0.3841684210526316,2.2879121,0.3616,2.4490855
0.4116210526315789,2.179734,0.4004,2.2460716
0.4325894736842105,2.076653,0.42080000000000006,2.187256
0.45267368421052634,1.9886497,0.4048,2.3546739
0.4688,1.9175086,0.4436,2.1021633
0.48473684210526313,1.8497841,0.4648,2.01378
0.5015999999999999,1.7853734,0.4196000000000001,2.2353895
0.5092,1.7426416,0.46440000000000003,2.1091607
0.5236842105263158,1.69099,0.46240000000000003,2.0441184
0.5346105263157894,1.6463867,0.4964,1.88166
0.5441263157894738,1.6035212,0.4972,1.9115916
0.5548000000000001,1.5589939,0.5136,1.7714342
0.5654315789473684,1.5296767,0.5112000000000001,1.9036044
0.5710526315789474,1.4966778,0.5148,1.8016979
0.5826105263157895,1.4573343,0.5224,1.8191599
0.5863157894736842,1.4345505,0.5228,1.7987179
0.5941263157894737,1.4082513,0.5164,1.8413725
0.6008631578947368,1.3782349,0.5451999999999999,1.6881577
0.6091368421052632,1.3516568,0.5432,1.7307681
0.6149473684210526,1.3244209,0.5488,1.7281123
0.6200631578947368,1.3019192,0.532,1.7218003
0.6271368421052631,1.2777475,0.5612,1.6488197
0.6303157894736842,1.2547612,0.5488000000000001,1.7099973
0.6365052631578947,1.2359499,0.5536,1.6880533
0.6425263157894738,1.2178123,0.568,1.6416241
0.6464210526315789,1.1940056,0.5572,1.6497749
0.6514526315789474,1.1750444,0.5599999999999999,1.6168132
0.6569894736842107,1.1528752,0.5572,1.6860312
0.6620842105263158,1.1349627,0.5656,1.6681612
0.666442105263158,1.1204953,0.578,1.6036181
0.6707368421052631,1.099703,0.5588000000000001,1.6711991
0.6740421052631578,1.0817984,0.5704,1.6281134
0.6810315789473684,1.0694017,0.5644,1.6361428
0.6863578947368421,1.0477309,0.5576,1.7493933
0.6886105263157896,1.0302804,0.5660000000000001,1.7605897
0.6906736842105264,1.0197755,0.5648,1.6390349
0.6978947368421052,0.99979675,0.5628,1.6718429
0.7010947368421052,0.98866516,0.5836,1.6610059
0.7036842105263158,0.9745618,0.592,1.6092404
0.7106315789473684,0.95333177,0.5764,1.6621817
0.7143157894736842,0.9409125,0.5816,1.6381541
0.7177684210526316,0.92264324,0.59,1.5995516
0.7209052631578947,0.9139413,0.5908000000000001,1.6332492
0.7242736842105263,0.9007376,0.568,1.7314595
0.7285894736842106,0.88009554,0.5848,1.6134866
0.7352842105263158,0.8624716,0.5904,1.6400673
0.7377894736842107,0.8531147,0.5832,1.7083937
0.7419578947368423,0.8380588,0.5932,1.6952931
0.7423578947368421,0.8333261,0.5952000000000001,1.6777805
0.7455999999999999,0.8179757,0.5992000000000001,1.6498933
0.7541894736842105,0.79896355,0.5904,1.6728352
0.7549684210526316,0.79189646,0.5940000000000001,1.6505551
0.7585473684210525,0.77749026,0.6048,1.6557627
0.7629263157894737,0.75823885,0.6004,1.701355
0.7656210526315789,0.7501572,0.6008,1.6697481
0.7685263157894736,0.73738056,0.6008,1.7046726
0.7729894736842106,0.72267705,0.6008,1.7069907
0.775221052631579,0.71733,0.6127999999999999,1.7217845
0.7826315789473685,0.69917506,0.6016,1.7440305
0.782021052631579,0.6923118,0.604,1.7426348
0.7837263157894736,0.68209493,0.6027999999999999,1.7344323
0.7870736842105264,0.6684548,0.6032,1.7328889
0.7921894736842106,0.65503776,0.6032,1.762836
0.7951789473684211,0.65070796,0.6052000000000001,1.7689378
0.7951157894736842,0.6393244,0.6008,1.7772616
0.798357894736842,0.6344624,0.6083999999999999,1.776052
0.8039578947368421,0.6226105,0.6055999999999999,1.7861327
0.8041684210526316,0.6135818,0.6043999999999999,1.7718471
0.8083368421052632,0.6046962,0.6108,1.7973251
0.814,0.5938061,0.612,1.7791526
0.8105052631578947,0.5927387,0.6032,1.7977147
0.8137473684210526,0.58245176,0.608,1.7906228
0.8151368421052632,0.575414,0.6092,1.8007867
0.8171789473684211,0.5731847,0.6027999999999999,1.8248706
0.8189263157894737,0.56646407,0.6015999999999999,1.837773
0.8215157894736843,0.56110233,0.6136,1.8150295
0.8230526315789475,0.5494553,0.6136,1.8303189
0.8262736842105264,0.5438382,0.614,1.8494503
0.8266736842105262,0.5423688,0.6144000000000001,1.8337696
0.8265263157894738,0.5445577,0.6068,1.8208159
0.8292631578947369,0.5336501,0.6103999999999999,1.8557817
0.8320000000000001,0.529336,0.6095999999999999,1.850544
0.8312842105263158,0.52873564,0.6144000000000001,1.8506532
0.8309052631578947,0.5268582,0.6128,1.8460054
0.8315157894736843,0.5245363,0.6144,1.8408995
0.8333894736842106,0.5215892,0.6152000000000001,1.8691483
0.8353684210526316,0.515479,0.6176,1.8365794
0.8360842105263159,0.5142361,0.6144,1.8584536
0.8348842105263158,0.51225847,0.616,1.8503152
0.834757894736842,0.50972795,0.6184000000000001,1.8506668
0.8371578947368421,0.50778455,0.614,1.8649025
0.8349473684210527,0.51308614,0.616,1.8756087
0.8362526315789475,0.51054025,0.6140000000000001,1.8714246
